Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),,,
GDP per capita (current US$),NY.GDP.PCAP.CD,GDP per capita (current US$),,,
GDP per capita (current LCU),NY.GDP.PCAP.CN,GDP per capita (current LCU),,,
GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,GDP per capita (constant 2005 US$),,,
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),,,
GDP per capita (constant LCU),NY.GDP.PCAP.KN,GDP per capita (constant LCU),,,
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2011 international $)",,,
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,Oil rents (% of GDP),,,
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP),,,
Gross domestic savings (current US$),NY.GDS.TOTL.CD,Gross domestic savings (current US$),,,
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,Gross domestic savings (current LCU),,,
Gross domestic savings (constant LCU),NY.GDS.TOTL.KN,Gross domestic savings (constant LCU),,,
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP),,,
Gross domestic income (constant 2005 US$),NY.GDY.TOTL.KD,Gross domestic income (constant 2005 US$),,,
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Gross domestic income (constant LCU),,,
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",,,
GNI (current US$),NY.GNP.MKTP.CD,GNI (current US$),,,
GNI (current LCU),NY.GNP.MKTP.CN,GNI (current LCU),,,
GNI (constant 2005 US$),NY.GNP.MKTP.KD,GNI (constant 2005 US$),,,
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,GNI growth (annual %),,,
GNI (constant LCU),NY.GNP.MKTP.KN,GNI (constant LCU),,,
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)",,,
"GNI, PPP (constant 2011 international $)",NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2011 international $)",,,
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",,,
GNI per capita (current LCU),NY.GNP.PCAP.CN,GNI per capita (current LCU),,,
GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,GNI per capita (constant 2005 US$),,,
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %),,,
GNI per capita (constant LCU),NY.GNP.PCAP.KN,GNI per capita (constant LCU),,,
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",,,
"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2011 international $)",,,
Gross savings (current US$),NY.GNS.ICTR.CD,Gross savings (current US$),,,
Gross savings (current LCU),NY.GNS.ICTR.CN,Gross savings (current LCU),,,
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI),,,
Gross savings (% of GDP),NY.GNS.ICTR.ZS,Gross savings (% of GDP),,,
Gross national income (constant LCU),NY.GNY.TOTL.KN,Gross national income (constant LCU),,,
Net income from abroad (current US$),NY.GSR.NFCY.CD,Net income from abroad (current US$),,,
Net income from abroad (current LCU),NY.GSR.NFCY.CN,Net income from abroad (current LCU),,,
Net income from abroad (constant LCU),NY.GSR.NFCY.KN,Net income from abroad (constant LCU),,,
Net taxes on products (current US$),NY.TAX.NIND.CD,Net taxes on products (current US$),,,
Net taxes on products (current LCU),NY.TAX.NIND.CN,Net taxes on products (current LCU),,,
Net taxes on products (constant LCU),NY.TAX.NIND.KN,Net taxes on products (constant LCU),,,
Net current transfers from abroad (current US$),NY.TRF.NCTR.CD,Net current transfers from abroad (current US$),,,
Net current transfers from abroad (current LCU),NY.TRF.NCTR.CN,Net current transfers from abroad (current LCU),,,
Net current transfers from abroad (constant LCU),NY.TRF.NCTR.KN,Net current transfers from abroad (constant LCU),,,
Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,Terms of trade adjustment (constant LCU),,,
DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$),,,
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",,,
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",,,
"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",,,
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate,,,
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",,,
"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,"2005 PPP conversion factor, private consumption (LCU per international $)",,,
"12.07 PCT patents, applications/million pop.",PCTPATENTAPPLPC,"PCT patents, applications/million pop.*",Value,,
"12.07 PCT patents, applications/million pop. (rank)",PCTPATENTAPPLPC_R,"PCT patents, applications/million pop.*",Rank,,
Political Stability and Absence of Violence and Terrorism,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,,WDI,WGI
Political Stability and Absence of Violence and Terrorism: NumSrc,PV.NO.SRC,Political Stability and Absence of Violence/Terrorism: Number of Sources,,WDI,WGI
Political Stability and Absence of Violence and Terrorism: Percentile,PV.PER.RNK,Political Stability and Absence of Violence/Terrorism: Percentile Rank,,WDI,WGI
Political Stability and Absence of Violence and Terrorism: StdErr,PV.STD.ERR,Political Stability and Absence of Violence/Terrorism: Standard Error,,WDI,WGI
Real effective exchange rate index (2010 = 100),PX.REX.REER,Real effective exchange rate index (2010 = 100),,,
"7.04 Redundancy costs, weeks of salary",REDUNCOST,"Redundancy costs, weeks of salary*",Value,,
"7.04 Redundancy costs, weeks of salary (rank)",REDUNCOST_R,"Redundancy costs, weeks of salary*",Rank,,
Rule of Law,RL.EST,Rule of Law: Estimate,,WDI,WGI
Rule of Law: NumSrc,RL.NO.SRC,Rule of Law: Number of Sources,,WDI,WGI
Rule of Law: Percentile,RL.PER.RNK,Rule of Law: Percentile Rank,,WDI,WGI
Rule of Law: StdErr,RL.STD.ERR,Rule of Law: Standard Error,,WDI,WGI
Regulatory Quality,RQ.EST,Regulatory Quality: Estimate,,WDI,WGI
Regulatory Quality: NumSrc,RQ.NO.SRC,Regulatory Quality: Number of Sources,,WDI,WGI
Regulatory Quality: Percentile,RQ.PER.RNK,Regulatory Quality: Percentile Rank,,WDI,WGI
Regulatory Quality: StdErr,RQ.STD.ERR,Regulatory Quality: Standard Error,,WDI,WGI
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",,,
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",,,
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",,,
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",,,
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)",,,
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,
"School enrollment, preprimary (% gross)",SE.PRE.ENRR,"School enrollment, preprimary (% gross)",,,
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)",,,
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",,,
Primary school starting age (years),SE.PRM.AGES,Primary school starting age (years),,,
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",,,
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)",,,
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",,,
"Primary education, duration (years)",SE.PRM.DURS,"Primary education, duration (years)",,,
"Primary education, pupils",SE.PRM.ENRL,"Primary education, pupils",,,
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",,,
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",,,
"School enrollment, primary (% gross)",SE.PRM.ENRR,"School enrollment, primary (% gross)",,,
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)",,,
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)",,,
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",,,
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",,,
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",,,
"School enrollment, primary (% net)",SE.PRM.NENR,"School enrollment, primary (% net)",,,
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",,,
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,"School enrollment, primary, male (% net)",,,
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)",,,
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)",,,
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population),,,
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)",,,
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)",,,
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)",,,
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",,,
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",,,
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",,,
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",,,
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",,,
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)",,,
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)",,,
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)",,,
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)",,,
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers),,,
"Primary education, teachers",SE.PRM.TCHR,"Primary education, teachers",,,
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)",,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)",,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",,,
"Children out of school, primary",SE.PRM.UNER,"Children out of school, primary",,,
"Children out of school, primary, female",SE.PRM.UNER.FE,"Children out of school, primary, female",,,
"Children out of school, primary, male",SE.PRM.UNER.MA,"Children out of school, primary, male",,,
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)",,,
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)",,,
"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,
"Secondary education, duration (years)",SE.SEC.DURS,"Secondary education, duration (years)",,,
"Secondary education, pupils",SE.SEC.ENRL,"Secondary education, pupils",,,
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)",,,
"Secondary education, general pupils",SE.SEC.ENRL.GC,"Secondary education, general pupils",,,
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)",,,
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",,,
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,"Secondary education, vocational pupils",,,
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)",,,
"School enrollment, secondary (% gross)",SE.SEC.ENRR,"School enrollment, secondary (% gross)",,,
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)",,,
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)",,,
